Assc.	Lineage	Superorder	Orders	Family	OrdersEnglish	MYA	ScientificName	EnglishName	NCBI taxon ID	AssemblyId	asmId	sciName	comName	VGPLineage
GCA_003287225.2	Mammals	Marsupials	Diprotodontia (Phascolarctidae)	Phascolarctidae	Koalas/Wombats	55	Phascolarctos cinereus	koala	38626	phaCin_HiC	GCA_003287225.2_phaCin_HiC	Phascolarctos cinereus	koala (Bilbo 61053 2022)	mammals
GCA_005190385.3	Mammals	Laurasiatheria	Cetartiodactyla (Cetacea)	Balaenidae	Whales, dolphines, orcas	54	Monodon monocero	narwhal	40151	mMonMon1	GCA_005190385.3_NGI_Narwhal_2	Monodon monoceros	narwhal (Baffin Bay Population NGI 2022)	mammals
GCA_008658365.1	Birds	Core waterbirds	Charadriiformes	Alcidae	Plovers	65.56	Alca Torda	razorbill	28689	bAlcTor1	GCA_008658365.1_bAlcTor1_primary	Alca torda	razorbill (2006_11_07_Graehlm_vinge_78 2019)	birds
GCA_009764595.1	Birds	Core landbirds	Passeriformes (Oscines)	Parulidae	Songbirds	29.59	Geothlypis trichas	common yellowthroat	135433	bGeoTri1	GCA_009764595.1_bGeoTri1.pri	Geothlypis trichas	common yellowthroat (primary hap 2019)	birds
GCA_009769465.1	Birds	Otidimorphae	Musophagiformes	Musophagidae	Turacos	62.92	Tauraco erythrolophus	red-crested turaco	121530	bTauEry1	GCA_009769465.1_bTauEry1.pri	Tauraco erythrolophus	red-crested turaco (primary hap 2019)	birds
GCA_009769525.1	Birds	Columbea	Pterocliformes	Pteroclidae	Sandgrouse	62.67	Pterocles gutturalis	yellow-throated sandgrouse	240206	bPteGut1	GCA_009769525.1_bPteGut1.pri	Pterocles gutturalis	yellow-throated sandgrouse (primary hap 2019)	birds
GCA_009769605.1	Birds	Core landbirds	Bucerotiformes	Bucorvidae	Hornbills	51.96	Bucorvus abyssinicus	Abyssinian ground hornbill	153643	bBucAby1	GCA_009769605.1_bBucAby1.pri	Bucorvus abyssinicus	Abyssinian ground-hornbill (primary hap 2019)	birds
GCA_009819595.1	Birds	Core landbirds	Coraciiformes	Meropidae	Bee eaters	45.32	Merops nubicus	carmine bee-eater	57421	bMerNub1	GCA_009819595.1_bMerNub1.pri	Merops nubicus	carmine bee-eater (primary hap 2019)	birds
GCA_009819605.1	Birds	Core waterbirds	Charadriiformes	Laridae	Plovers	65.56	Sterna hirundo	common tern	108405	bSteHir1	GCA_009819605.1_bSteHir1.pri	Sterna hirundo	common tern (primary hap 2019)	birds
GCA_009819775.1	Birds	Columbea	Phoenicopteriformes	Phoenicopteridae	Flamingos	55.33	Phoenicopterus ruber	American flamingo	9217	bPhoRub2	GCA_009819775.1_bPhoRub2.pri	Phoenicopterus ruber ruber	American flamingo (primary hap 2019)	birds
GCA_009819825.1	Birds	Core landbirds	Cariamiformes	Cariamidae	Seriemas	62.85	Cariama cristata	red-legged seriema	54380	bCarCri1	GCA_009819825.1_bCarCri1.pri	Cariama cristata	red-legged seriema (primary hap 2019)	birds
GCA_009914755.4	Mammals	Supraprimates (Euarchontoglires)	Primates (Catarrhines)	Hominidae	Apes & Old World monkeys	30	Homo sapiens	human	9606	T2T-CHM13v2.0	GCA_009914755.4_T2T-CHM13v2.0	Homo sapiens	human T2T CHM13 v2.0 (2022)	primates
GCA_011004875.1	Birds	Core waterbirds	Gruiformes	Gruidae	Cranes	65.56	Balearica regulorum gibbericeps	grey crowned-crane	100784	bBalReg1	GCA_011004875.1_bBalReg1.pri	Balearica regulorum gibbericeps	East African grey crowned-crane (primary hap 2020)	birds
GCA_011762505.3	Mammals	Supraprimates (Euarchontoglires)	Rodentia (Muridae)	Muridae	Mice, Rats	50	Arvicanthis niloticus	Nile rat	61156	mArvNil1	GCA_011762505.3_mArvNil1.pat.X	Arvicanthis niloticus	African grass rat (v3 paternal hap 2024)	mammals
GCA_013358685.1	Fishes	Actinopterygii (Ray-finned Fishes)	Lophiiformes	Antennariidae	Monkfishes/Anglerfishes	50	Antennarius maculatus	warty frogfish	882753	fAntMac1	GCA_013358685.1_fAntMac1.pri	Antennarius maculatus	warty frogfish (primary hap 2020)	fish
GCA_014706295.1	Birds	Core landbirds	Passeriformes (Oscines)	Paradisaeidae	Songbirds	29.59	Lycocorax pyrrhopterus	paradise crow	681192	bLycPyr6	GCA_014706295.1_ASM1470629v1	Lycocorax pyrrhopterus obiensis	Obi paradise-crow (lycPyr6 2020)	birds
GCA_014839685.1	Fishes	Actinopterygii (Ray-finned Fishes)	Cyprinodontiformes	Anablepidae	Killifish/Live-bearers	75	Anableps anableps	largescale four-eyes	195821	fAnaAna1	GCA_014839685.1_fAnaAna1.pri	Anableps anableps	largescale foureyes (primary hap 2020)	fish
GCA_014839755.1	Birds	Core landbirds	Passeriformes (Oscines)	Sylviidae	Songbirds	29.59	Sylvia borin	garden warbler	73324	bSylBor1	GCA_014839755.1_bSylBor1.pri	Sylvia borin	garden warbler (primary hap 2020)	birds
GCA_014839995.1	Fishes	Actinopterygii (Ray-finned Fishes)	Beloniformes	Belonidae	Needlefish	80	Xenentodon cancila	needlefish	129108	fXenCan1	GCA_014839995.1_fXenCan1.pri	Xenentodon cancila	freshwater garfish (primary hap 2020)	fish
GCA_015852565.1	Invertebrates	Cephalochordata	Amphioxiformes	Branchiostomatidae	Lancets/Amphioxus	750	Branchiostoma floridae	Florida amphioxus	7739	iBraFlo1	GCA_015852565.1_bf_hap-2	Branchiostoma floridae x Branchiostoma japonicum	lancelets B.floridae x B.japonicum (bjbf 2020)	invertebrate
GCA_016904835.1	Birds	Core landbirds	Passeriformes (Acanthisitti)	Acanthisittidae	New Zealand Wrens	34.71	Acanthisitta chloris	rifleman	57068	bAcaChl1	GCA_016904835.1_bAcaChl1.pri	Acanthisitta chloris	rifleman (primary hap 2021)	birds
GCA_017639485.1	Birds	Core waterbirds	Charadriiformes	Charadriidae	Plovers	65.56	Pluvialis apricaria	European golden plover	670352	bPluApr1	GCA_017639485.1_bPluApr1.pri	Pluvialis apricaria	European golden plover (primary hap 2021)	birds
GCA_017639555.1	Birds	Core waterbirds	Ciconiiformes	Ciconiidae	Storks	59.87	Ciconia maguari	Maguari stork	52777	bCicMag1	GCA_017639555.1_bCicMag1.pri	Ciconia maguari	maguari stork (primary hap 2021)	birds
GCA_017639675.1	Fishes	Actinopterygii (Ray-finned Fishes)	Galaxiiformes	Galaxiidae	Galaxiids	150	Aplochiton taeniatus	peladilla	946358	fAplTae1	GCA_017639675.1_fAplTae1.pri	Aplochiton taeniatus	peladilla (primary hap 2021)	fish
GCA_019207075.1	Invertebrates	Cephalochordata	Amphioxiformes	Branchiostomatidae	Lancets/Amphioxus	750	Branchiostoma belcheri	belcher's lancelet	7741	iBraBel1	GCA_019207075.1_Bb-hap	Branchiostoma floridae x Branchiostoma belcheri	lancelets B.floridae x B.belcheri (bbbf 2021)	invertebrate
GCA_019677235.1	Fishes	Actinopterygii (Ray-finned Fishes)	Centrarchiformes	Centrarchidae	Late perches	70	Micropterus salmoides	large-mouth bass	27706	fMicSal1	GCA_019677235.1_HNU_Msal_1.0	Micropterus salmoides	largemouth bass (2-A1 2021)	fish
GCA_020510985.1	Fishes	Actinopterygii (Ray-finned Fishes)	Pholidichthyiformes	Pholidichthyidae	Blenny-like	75	Pholidichthys leucotaenia	convict blenny	390368	fPhoLeu1	GCA_020510985.1_fPhoLeu1.pri	Pholidichthys leucotaenia	convict blenny (primary hap 2021)	fish
GCA_020745685.1	Fishes	Actinopterygii (Ray-finned Fishes)	Labriformes sensu stricto	Labridae	Wrasses	64	Tautogolabrus adspersus	cunner	34787	fTauAds1	GCA_020745685.1_fTauAds1.pri.cur	Tautogolabrus adspersus	cunner (primary hap 2021)	fish
GCA_020745705.1	Birds	Caprimulgimorphae	Apodiformes (Hemiprocnidae)	Hemiprocnidae	Whiskered treeswift	49.38	Hemiprocne comata	whiskered treeswift	243314	bHemCom1	GCA_020745705.1_bHemCom1.pri.cur	Hemiprocne comata	whiskered treeswift (primary hap 2021)	birds
GCA_020745775.1	Birds	Core waterbirds	Pelicaniformes (Threskiornithidae)	Threskiornithidae	Ibises	57.65	Theristicus caerulescens	plumbeous ibis	1118847	bTheCae1	GCA_020745775.1_bTheCae1.pri.cur	Theristicus caerulescens	plumbeous ibis (primary hap 2021)	birds
GCA_020746105.1	Birds	Core landbirds	Trogoniformes	Trogonidae	Trogons	55.49	Trogon surrucura	surucua trogon	297711	bTroSur1	GCA_020746105.1_bTroSur1.pri.cur	Trogon surrucura	Suruca trogon (primary hap 2021)	birds
GCA_020800305.1	Birds	Core waterbirds	Gruiformes	Rallidae	Cranes	65.56	Porphyrio hochstetteri	takahe	439704	bPorHoc1	GCA_020800305.1_bPorHoc1.mat.Z.cur	Porphyrio hochstetteri	South Island takahe (primary hap 2021)	birds
GCA_021292165.1	Reptiles	Squamata	Anguimorpha (Paleoanguimorpha)	Shinisauridae	Old World anguimorph lizards	115	Shinisaurus crocodilurus	Chinese crocodile lizard	52224	rShiCro1	GCA_021292165.1_IOZ_Scro_1.0	Shinisaurus crocodilurus	Chinese crocodile lizard (Guangxi GXDGS128 2021)	reptiles
GCA_022682495.2	Mammals	Laurasiatheria	Chiroptera (Yangochiroptera)	Phyllostomidae	Regular bats	65	Desmodus rotundus	common vampire bat	9430	mDesRot1	GCA_022682495.2_HLdesRot8A.1	Desmodus rotundus	common vampire bat (v2 HL8 primary hap 2022 genbank)	mammals
GCA_023333525.2	Reptiles	Squamata	Lacertoidea (Teiidae)	Teiidae	Tegus/Whiptail lizards	130	Aspidoscelis tigris stejnegeri	Western whiptail stejnegeri	2917703	rAspTig1	GCA_023333525.2_rAspTig1.1.pri	Aspidoscelis tigris stejnegeri	San Diegan tiger whiptail (v1.1 HBS 135688 primary hap 2025)	reptiles
GCA_023637945.2	Birds	Caprimulgimorphae	Trochiliformes	Trochilidae	Hummingbirds	45.4	Phaethornis superciliosus	long-tailed hermit	46513	bPhaSup1	GCA_023637945.2_bPhaSup1.pri	Phaethornis superciliosus	long-tailed hermit (v2 PSU5 primary hap 2025)	birds
