ScientificName	Lineage	Superorder	VGP_genome	existing_genome	VGP_genome-length	existing_genome-length	VGP_UR	existing_UR	VGP_HCRM	existing_HCRM	VGP_RR	existing_RR	existing_to_VGP_RR_ratio
Lampetra_fluviatilis	Fishes	Agnatha (Jawless Fishes)	GCA_964198595.1	GCA_030220065.1	1042017429	998289497	0.67	0.68	45.1	64.66	0.33	0.32	1.01492537313433
Petromyzon_marinus	Fishes	Agnatha (Jawless Fishes)	GCA_048934315.1	GCA_002833325.1	1808167201	1042424217	0.41	0.69	150.97	37.21	0.59	0.31	1.68292682926829
Myxine_glutinosa	Fishes	Agnatha (Jawless Fishes)	GCA_964187855.1	GCA_040869285.1	2977803653	3654980719	0.3	0.23	317.41	250.5	0.7	0.77	0.766666666666666
Stegostoma_tigrinum	Fishes	Chondrichthyes (Cartilaginous Fishes)	GCF_030684315.1	GCA_022316705.1	3181349085	2597436149	0.74	0.89	197.5	58.66	0.26	0.11	1.2027027027027
Carcharodon_carcharias	Fishes	Chondrichthyes (Cartilaginous Fishes)	GCF_017639515.1	GCA_003604245.1	4267060404	3608714227	0.67	0.74	54.97	129.44	0.33	0.26	1.1044776119403
Acipenser_ruthenus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_902713425.1	GCA_010645085.2	1897215942	1821380070	0.52	0.54	231.66	265.85	0.48	0.46	1.03846153846154
Amia_calva	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_036373705.1	GCA_017591415.1	989069771	764889909	0.72	0.93	160.74	141.23	0.28	0.07	1.29166666666667
Lepisosteus_oculatus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_040954835.1	GCA_000242695.1	1200543517	868045549	0.71	0.95	219.12	15.16	0.29	0.05	1.33802816901408
Conger_conger	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_963514075.1	GCA_029692045.1	1136159418	1005551659	0.76	0.82	140.96	223.27	0.24	0.18	1.07894736842105
Anguilla_anguilla	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_013347855.1	GCA_000695075.1	975156607	852524416	0.87	0.96	79.35	2.05	0.13	0.04	1.10344827586207
Scleropages_formosus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_900964775.1	GCA_001624245.1	784515144	735871018	0.88	0.94	130.76	74.06	0.12	0.0600000000000001	1.06818181818182
Pangasianodon_hypophthalmus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_027358585.1	GCA_003671635.1	761085648	695807548	0.87	0.93	222.55	156.88	0.13	0.07	1.06896551724138
Neoarius_graeffei	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_027579695.1	GCA_022956915.1	2328028726	904453472	0.44	0.84	158.71	148.92	0.56	0.16	1.90909090909091
