taxon_id,taxon_rank,scientific_name,assembly_id,bioproject,ucsc_assembly_name,refseq_accession,assembly_name,assembly_id,order,class,busco_completeness,assembly_level,assembly_span,contig_n50,scaffold_n50,contig_l50,scaffold_l50,contig_count,scaffold_count,chromosome_count,n_percent,assembly_status,biosample_representative,V25,last_updated,sample_sex,assembly_type,refseq_category,submitter,ebp_standard_criteria,V32
7748,species,Lampetra fluviatilis,GCA_030220065.1,,,,ASM3022006v1,GCA_030220065.1,Petromyzontiformes,Hyperoartia,NA,Scaffold,1'039'747'090,2'371,2'551,97'282,89'424,1'310'481,1'292'243,,,,primary,,2023-06-07,not determined,haploid,,Faculty of Sciences from the University of Lisbon,,
7757,species,Petromyzon marinus,GCA_002833325.1,,,,Pmar_germline 1.0,GCA_002833325.1,Petromyzontiformes,Hyperoartia,NA,Scaffold,1'130'417'696,170'712,11'932'523,1'431,34,24'392,12'061,,,,primary,,2017-12-11,male,haploid,,University of Kentucky,,
7769,species,Myxine glutinosa,GCA_040869285.1,,,GCF_040869285.1,UKY_Mglu_1.0,GCA_040869285.1,Myxiniformes,Myxini,NA,Chromosome,3'829'258'836,847'554,156'894'492,1'391,9,9'145,4'269,14,,primary,primary,,2024-07-30,hermaphrodite,haploid,,University of Kentucky,,
7888,species,Protopterus annectens,GCA_019279795.1,,,GCF_019279795.1,PAN1.0,GCA_019279795.1,Ceratodontiformes,,40054324612,1603140,1974114035,6864,11,74227,12667,27,,primary,primary,Chromosome,2021-07-20,male,haploid,,Northwestern Polytechnical University,6.7;6.C,,7888,species
7897,species,Latimeria chalumnae,GCA_000225785.1,,,GCF_000225785.1,LatCha1,GCA_000225785.1,Coelacanthiformes,,NA,Scaffold,2'860'575'514,12'671,924'513,50'768,830,291'828,22'818,,,primary,primary,,2011-09-12,,haploid,,Broad Institute,,
7906,species,Acipenser ruthenus,GCA_010645085.2,,,GCF_010645085.2,ASM1064508v2,GCA_010645085.2,Acipenseriformes,Actinopteri,NA,Chromosome,1'825'170'888,602'209,42'361'471,832,12,9'606,3'367,60,,primary,primary,,2020-02-19,,haploid,,University of Wuerzburg,,
7918,species,Lepisosteus oculatus,GCA_000242695.1,,,GCF_000242695.1,LepOcu1,GCA_000242695.1,Semionotiformes,Actinopteri,91.4,Chromosome,945'861'706,68'337,6'928'108,3'307,45,45'199,2'105,29,8.08,primary,primary,,2012-01-13,,haploid,,Broad Institute,,
7924,species,Amia calva,GCA_017591415.1,,,,AmiCal1,GCA_017591415.1,Amiiformes,Actinopteri,NA,Chromosome,831'002'832,21'103,41'163'702,10'038,9,76'890,1'957,23,,,primary,,2021-03-30,male,haploid,,Michigan State University,,
7936,species,Anguilla anguilla,GCA_000695075.1,PRJNA73577,,,Anguilla_anguilla_v1_09_nov_10,GCA_000695075.1,Anguilliformes,Actinopteri,65.4,Scaffold,1'018'701'900,2'544,59'657,84'717,2'979,865'467,501'148,,13.17,,primary,,2014-05-20,female,haploid,,ZF-screens B.V.,,
7955,species,Danio rerio,GCA_008692375.1,,,,ASM869237v1,GCA_008692375.1,Cypriniformes,Actinopteri,NA,Chromosome,1'306'177'993,416'828,50'576'722,766,12,7'216,149,25,,,primary,,2019-10-07,male,haploid,,Harvard University,,
