sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
GCA_014706275.1_ASM1470627v1_genomic.hist	1030932760	9100000	1141170	420479	219833	139816	95567	68235	51090	40453	31711	25640	21498	17022	14195	12310	10897	9126	8182	7324	6626	5904	5231	4848	4696	4194	3619	3454	3034	2894	2582	2377	2253	2180	2086	1979	1781	1589	1564	1439	1452	1346	1188	1194	1082	1049	1016	844	893	845
GCA_000296755.1_EriEur2.0_genomic.hist	1896972208	39680407	8935460	4255754	2481471	1627713	1149796	855294	662248	525896	429881	356787	301648	258216	224067	194229	170157	150545	135878	121169	109334	98912	89970	82288	75200	69388	63693	58949	54821	50929	47085	44294	41459	38917	36814	34405	32538	31054	29497	28079	26432	25122	23935	22745	21940	20770	19545	18784	18036	17509
GCA_040285205.1_ZA_WK_1_genomic.hist	1061608973	4231413	1119932	525656	298961	194507	136028	101230	80370	61256	49324	40711	33876	29598	25328	22319	19035	17204	15081	13407	11186	9545	8789	8148	7382	7060	6238	5800	5537	4905	4811	4340	4034	4034	3430	3233	3170	3184	2868	2745	2542	2501	2430	2140	1932	1827	1816	1695	1503	1554
GCA_000292845.1_OchPri3.0_genomic.hist	1801195968	19863732	3268455	1433155	804012	520122	362081	267443	204813	161570	130085	107096	90158	76384	65589	57267	50332	44435	39167	35301	31919	28552	25976	23311	21688	19556	18017	16581	15765	14414	13487	12509	11746	11006	10235	9541	9196	8780	8326	7900	7439	6989	6709	6291	5957	5646	5475	5218	5047	4970
GCA_015159335.1_ASM1515933v1_genomic.hist	2412690536	36893898	9088447	4277032	2412386	1575886	1106668	829935	646664	515573	421266	348643	291902	250224	213801	184616	158870	141081	125423	110894	100213	91362	81707	74275	68431	62400	58630	53537	50127	46214	43447	40568	38392	35999	33124	31383	29532	27870	26234	24763	23595	22371	21196	20111	19368	18310	17654	16989	15920	15324
GCA_024433245.1_Lanner10X.pri_genomic.hist	1130743070	6704704	980170	414426	165097	103956	71131	51423	39066	30997	24285	19679	16507	13888	11972	10149	8755	7964	7070	6137	5491	4967	4683	4171	3502	3317	2947	2776	2337	2243	2180	2098	1987	1825	1676	1501	1476	1348	1241	1213	1109	1090	1007	861	907	779	801	773	748	682
GCA_003604245.1_ASM360424v1_genomic.hist	2674264830	164002737	26583271	10921362	5890692	3684102	2521028	1824996	1387334	1090196	873001	722251	603523	508546	437362	372874	322214	286181	251283	225761	202557	183893	164494	150597	136873	125896	114371	105923	96679	90868	84661	78954	73163	67209	62835	59672	55794	53191	49807	47522	44924	42682	40487	37616	35774	34060	32284	30745	29178	28080
GCA_016984155.1_BGI_Acal_1.1_genomic.hist	696552598	17849364	3604455	1435150	746895	457784	310297	228358	175182	138519	113928	90555	77400	66506	62081	50083	43020	38660	33273	30651	26792	24295	22382	20273	18495	16992	15753	14752	13595	13052	12123	10936	10446	9708	9017	8487	7890	7034	6426	6451	6036	5397	5233	4758	4598	4353	4549	3977	3773	3712
GCA_013398245.1_ASM1339824v1_genomic.hist	1113329888	8836718	669750	244673	139666	89611	62706	45852	34853	27693	22257	18543	15390	13159	11490	10310	8811	7563	7168	6466	5619	5099	4701	4068	3689	3428	3208	2876	2659	2488	2414	2146	2005	1942	1792	1693	1680	1521	1481	1394	1253	1260	1191	1079	1053	995	979	933	966	909
GCA_015075925.1_ASM1507592v1_genomic.hist	2423821265	36829079	8725075	4041250	2267580	1485084	1049263	784130	605367	482763	394845	326777	274959	236080	202011	175730	153128	134826	119518	106502	95258	86574	78009	70990	65457	59626	55047	51399	47589	44705	41575	38990	36510	34324	32052	30437	28411	26839	25221	24475	22842	21635	20836	19832	19196	17945	17345	16894	16156	15160
