sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
GCF_020745825.1.hist	histogram	assembly	NA	1188480099	0.86	44.43	NA	-1
GCF_037176765.1.hist	histogram	assembly	NA	1803293645	0.73	80.55	NA	-1
GCA_045364795.1.hist	histogram	assembly	NA	1233183087	0.85	122.68	NA	-1
GCA_963454915.1.hist	histogram	assembly	NA	1302620573	0.66	244.50	NA	-1
GCA_011762505.3.hist	histogram	assembly	NA	2476324481	0.85	216.18	NA	-1
GCA_028022735.1.hist	histogram	assembly	NA	1363284681	0.86	139.91	NA	-1
GCA_045781085.1.hist	histogram	assembly	NA	2174512425	0.84	33.12	NA	-1
GCA_965152235.1.hist	histogram	assembly	NA	2215226863	0.82	37.33	NA	-1
GCF_036321535.1.hist	histogram	assembly	NA	2306553114	0.82	125.14	NA	-1
GCA_965140285.1.hist	histogram	assembly	NA	2218972029	0.82	37.27	NA	-1
GCF_015852505.1.hist	histogram	assembly	NA	2182161818	0.71	139.94	NA	-1
GCA_947247035.1.hist	histogram	assembly	NA	1624593650	0.71	302.25	NA	-1
GCF_009769545.1.hist	histogram	assembly	NA	562691541	0.84	445.20	NA	-1
GCA_964264875.2.hist	histogram	assembly	NA	2226251031	0.73	102.67	NA	-1
GCF_900634625.1.hist	histogram	assembly	NA	540427585	0.81	70.94	NA	-1
GCA_048771875.1.hist	histogram	assembly	NA	2184365445	0.90	111.22	NA	-1
GCA_043250625.1.hist	histogram	assembly	NA	833730653	0.79	147.67	NA	-1
GCA_964204865.1.hist	histogram	assembly	NA	377949511	0.67	254.34	NA	-1
GCA_046129695.1.hist	histogram	assembly	NA	1207509632	0.82	128.32	NA	-1
GCF_031021105.1.hist	histogram	assembly	NA	1963717111	0.63	234.93	NA	-1
GCF_015237465.2.hist	histogram	assembly	NA	2122403208	0.86	28.85	NA	-1
GCA_964165515.1.hist	histogram	assembly	NA	2998798595	0.67	49.48	NA	-1
GCF_905171765.1.hist	histogram	assembly	NA	5034700791	0.44	47.16	NA	-1
GCF_011004845.1.hist	histogram	assembly	NA	917720929	0.79	74.86	NA	-1
GCA_964234715.1.hist	histogram	assembly	NA	1563174529	0.75	214.16	NA	-1
GCF_027477595.1.hist	histogram	assembly	NA	1137011472	0.89	56.84	NA	-1
GCF_042242105.1.hist	histogram	assembly	NA	646219021	0.89	203.29	NA	-1
GCF_015220745.1.hist	histogram	assembly	NA	799499538	0.83	88.10	NA	-1
GCA_963210335.1.hist	histogram	assembly	NA	1279174554	0.89	142.45	NA	-1
GCA_965112155.1.hist	histogram	assembly	NA	1573800338	0.75	119.74	NA	-1
GCA_008658365.1.hist	histogram	assembly	NA	1174921793	0.96	14.21	NA	-1
GCF_036013475.1.hist	histogram	assembly	NA	1325485586	0.81	523.63	NA	-1
GCA_965202585.1.hist	histogram	assembly	NA	801699044	0.70	86.35	NA	-1
GCF_036850995.1.hist	histogram	assembly	NA	2556877272	0.78	57.74	NA	-1
GCF_014108415.1.hist	histogram	assembly	NA	2268183337	0.86	46.50	NA	-1
GCF_029931775.1.hist	histogram	assembly	NA	1777848747	0.77	107.07	NA	-1
GCF_013347855.1.hist	histogram	assembly	NA	975156607	0.87	79.35	NA	-1
GCA_949987555.1.hist	histogram	assembly	NA	907495681	0.57	594.62	NA	-1
GCA_949316315.1.hist	histogram	assembly	NA	2770761745	0.77	204.35	NA	-1
GCF_010909765.2.hist	histogram	assembly	NA	2367671120	0.63	86.64	NA	-1
GCA_048338725.1.hist	histogram	assembly	NA	2633165591	0.81	41.50	NA	-1
GCA_043880545.1.hist	histogram	assembly	NA	2564515652	0.78	51.13	NA	-1
GCA_965151615.1.hist	histogram	assembly	NA	1289515361	0.84	689.40	NA	-1
