sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
GCA_014706275.1_ASM1470627v1_genomic.hist	histogram	assembly	NA	1068129814	0.97	15.68	NA	-1
GCA_000296755.1_EriEur2.0_genomic.hist	histogram	assembly	NA	2326289108	0.82	107.48	NA	-1
GCA_040285205.1_ZA_WK_1_genomic.hist	histogram	assembly	NA	1107586904	0.96	20.33	NA	-1
GCA_000292845.1_OchPri3.0_genomic.hist	histogram	assembly	NA	1939987397	0.93	43.43	NA	-1
GCA_015159335.1_ASM1515933v1_genomic.hist	histogram	assembly	NA	2820864226	0.86	36.40	NA	-1
GCA_024433245.1_Lanner10X.pri_genomic.hist	histogram	assembly	NA	1157332725	0.98	2.17	NA	-1
GCA_003604245.1_ASM360424v1_genomic.hist	histogram	assembly	NA	3608714227	0.74	129.44	NA	-1
GCA_016984155.1_BGI_Acal_1.1_genomic.hist	histogram	assembly	NA	824408367	0.84	76.94	NA	-1
GCA_013398245.1_ASM1339824v1_genomic.hist	histogram	assembly	NA	1148169330	0.97	7.25	NA	-1
GCA_015075925.1_ASM1507592v1_genomic.hist	histogram	assembly	NA	2823535550	0.86	36.22	NA	-1
GCA_014825785.1_GWU_Obon_1.1_genomic.hist	histogram	assembly	NA	652675889	0.87	47.53	NA	-1
GCA_000189315.1_Devil_ref_v7.0_genomic.hist	histogram	assembly	NA	2924419380	0.91	79.08	NA	-1
GCA_015125915.1_ASM1512591v1_genomic.hist	histogram	assembly	NA	2822307017	0.85	36.49	NA	-1
GCA_015112895.1_ASM1511289v1_genomic.hist	histogram	assembly	NA	2814612887	0.86	36.68	NA	-1
GCA_027580115.1_ASM2758011v1_genomic.hist	histogram	assembly	NA	1176140812	0.99	4.88	NA	-1
GCA_000767585.1_PRJNA234474_Ca_dromedarius_V1.0_genomic.hist	histogram	assembly	NA	1978290564	0.96	25.12	NA	-1
GCA_015119085.1_ASM1511908v1_genomic.hist	histogram	assembly	NA	2820908462	0.85	36.59	NA	-1
GCA_015158375.1_ASM1515837v1_genomic.hist	histogram	assembly	NA	2829101216	0.86	36.24	NA	-1
GCA_034642415.1_UCBerk_Psic_1_genomic.hist	histogram	assembly	NA	1382246561	0.83	90.26	NA	-1
GCA_900302625.1_ASM90030262v1_genomic.hist	histogram	assembly	NA	724150947	0.94	107.86	NA	-1
GCA_002754865.1_ASM275486v1_genomic.hist	histogram	assembly	NA	2833210978	0.84	47.32	NA	-1
GCA_001624475.1_CBA_J_v1_genomic.hist	histogram	assembly	NA	2306610268	0.91	151.80	NA	-1
GCA_001292865.1_ss10.2_mar2013_genomic.hist	histogram	assembly	NA	1937467846	0.90	35.87	NA	-1
GCA_013398435.1_ASM1339843v1_genomic.hist	histogram	assembly	NA	983108020	0.98	71.15	NA	-1
GCA_000325925.2_minipig_v1.0_genomic.hist	histogram	assembly	NA	2445319599	0.87	51.94	NA	-1
GCA_015075805.1_ASM1507580v1_genomic.hist	histogram	assembly	NA	2826159739	0.86	36.39	NA	-1
GCA_004025005.1_TadBra_v1_BIUU_genomic.hist	histogram	assembly	NA	2677348608	0.68	89.40	NA	-1
GCA_015074765.1_ASM1507476v1_genomic.hist	histogram	assembly	NA	2818402176	0.86	36.36	NA	-1
GCA_000695815.1_ASM69581v1_genomic.hist	histogram	assembly	NA	1027489036	0.97	14.98	NA	-1
GCA_907169785.1_Menidia_menidia_GA_1.0_genomic.hist	histogram	assembly	NA	598177365	0.76	76.75	NA	-1
GCA_029234525.1_ASM2923452v1_genomic.hist	histogram	assembly	NA	2515272281	0.85	179.29	NA	-1
GCA_933666475.1_mfascicularis_v7_1_2_genomic.hist	histogram	assembly	NA	2799237937	0.87	37.05	NA	-1
GCA_015126895.1_ASM1512689v1_genomic.hist	histogram	assembly	NA	2824662425	0.86	36.72	NA	-1
GCA_000690875.1_ASM69087v1_genomic.hist	histogram	assembly	NA	1119008513	0.99	7.05	NA	-1
GCA_900323335.1_ASM90032333v1_genomic.hist	histogram	assembly	NA	604191460	0.90	401.80	NA	-1
GCA_013398555.1_ASM1339855v1_genomic.hist	histogram	assembly	NA	1196687898	0.95	16.18	NA	-1
GCA_015143235.1_ASM1514323v1_genomic.hist	histogram	assembly	NA	2807467473	0.86	36.34	NA	-1
GCA_004024905.1_TapInd_v1_BIUU_genomic.hist	histogram	assembly	NA	2416235771	0.91	29.99	NA	-1
GCA_011800095.2_ASM1180009v2_genomic.hist	histogram	assembly	NA	1142243337	0.95	16.64	NA	-1
GCA_002915635.3_AmbMex60DD_genomic.hist	histogram	assembly	NA	28196400102	0.56	17.97	NA	-1
GCA_900166895.1_phaCin_tgac_v2.0_genomic.hist	histogram	assembly	NA	3366786339	0.85	184.76	NA	-1
GCA_033458585.1_RoL_Styp_1.0_genomic.hist	histogram	assembly	NA	435284176	0.62	581.32	NA	-1
GCA_004026525.1_MinSch_v1_BIUU_genomic.hist	histogram	assembly	NA	1769618835	0.93	33.56	NA	-1
GCA_001483285.2_CG2v2.0_genomic.hist	histogram	assembly	NA	1281829160	0.80	363.88	NA	-1
GCA_000185165.1_HsapALLPATHS1_genomic.hist	histogram	assembly	NA	2564327687	0.90	30.54	NA	-1
GCA_002592135.1_ASM259213v1_genomic.hist	histogram	assembly	NA	1097234638	0.98	18.10	NA	-1
GCA_001624535.1_FVB_NJ_v1_genomic.hist	histogram	assembly	NA	2301140499	0.91	135.44	NA	-1
GCA_013399155.1_ASM1339915v1_genomic.hist	histogram	assembly	NA	1142828680	0.96	9.53	NA	-1
GCA_029692045.1_COCON_1.0_genomic.hist	histogram	assembly	NA	1005551659	0.82	223.27	NA	-1
GCA_004329235.1_PodMur_1.0_genomic.hist	histogram	assembly	NA	1507898006	0.75	84.79	NA	-1
GCA_045788445.1_ASM4578844v1_genomic.hist	histogram	assembly	NA	1188074529	0.95	6.52	NA	-1
GCA_000208655.4_Dasnov3.2_genomic.hist	histogram	assembly	NA	3290233378	0.81	12.23	NA	-1
GCA_037893015.1_bilby.v1.9.chrom.fasta_genomic.hist	histogram	assembly	NA	3642881862	0.81	146.90	NA	-1
GCA_015157215.1_ASM1515721v1_genomic.hist	histogram	assembly	NA	2828323462	0.86	36.42	NA	-1
GCA_024679325.1_ASM2467932v1_genomic.hist	histogram	assembly	NA	1054946712	0.89	17.07	NA	-1
GCA_009650515.1_UO_Cmon_1.0_genomic.hist	histogram	assembly	NA	1043603217	0.97	17.22	NA	-1
GCA_000308155.1_EptFus1.0_genomic.hist	histogram	assembly	NA	1806369216	0.91	61.12	NA	-1
GCA_002022845.1_10x.supernova.msNA12878_genomic.hist	histogram	assembly	NA	5587065464	0.02	35.37	NA	-1
GCA_015112915.1_ASM1511291v1_genomic.hist	histogram	assembly	NA	2823495364	0.86	36.31	NA	-1
GCA_000002265.1_Rn_Celera_genomic.hist	histogram	assembly	NA	2791396121	0.77	136.44	NA	-1
GCA_001483585.1_hirise_NA12878_merac_L1_L2_50__genomic.hist	histogram	assembly	NA	2704548761	0.89	40.89	NA	-1
GCA_000337935.2_Cliv_2.1_genomic.hist	histogram	assembly	NA	1084068937	0.96	20.52	NA	-1
GCA_014706055.1_ASM1470605v1_genomic.hist	histogram	assembly	NA	1099058466	0.93	16.84	NA	-1
GCA_903798185.1_fDreABz2.1_genomic.hist	histogram	assembly	NA	1227839226	0.80	190.00	NA	-1
GCA_004320185.1_Haliaeetus_albicilla_ver1.0_genomic.hist	histogram	assembly	NA	1189892712	0.98	7.07	NA	-1
GCA_013398885.1_ASM1339888v1_genomic.hist	histogram	assembly	NA	1097045312	0.98	4.10	NA	-1
GCA_013400015.1_ASM1340001v1_genomic.hist	histogram	assembly	NA	1018195752	0.97	15.34	NA	-1
GCA_048934315.1_UKy_Petmar_22M1.pri1.0_genomic.hist	histogram	assembly	NA	1808167201	0.41	150.97	NA	-1
GCA_015125395.1_ASM1512539v1_genomic.hist	histogram	assembly	NA	2842161500	0.85	36.64	NA	-1
GCA_015120605.1_ASM1512060v1_genomic.hist	histogram	assembly	NA	2807152956	0.86	36.42	NA	-1
GCA_001700155.1_Rongchang_pig_v1_genomic.hist	histogram	assembly	NA	2422455131	0.87	36.74	NA	-1
GCA_004361675.1_CVASU_BBG_1.0_genomic.hist	histogram	assembly	NA	2202590403	0.80	13.93	NA	-1
GCA_046244895.1_ASM4624489v1_genomic.hist	histogram	assembly	NA	1156486356	0.98	7.01	NA	-1
GCA_045783575.1_ASM4578357v1_genomic.hist	histogram	assembly	NA	1206037204	0.95	6.06	NA	-1
GCA_015074645.1_ASM1507464v1_genomic.hist	histogram	assembly	NA	2830788159	0.86	36.33	NA	-1
GCA_024686295.1_ASM2468629v1_genomic.hist	histogram	assembly	NA	1063762566	0.88	14.46	NA	-1
GCA_020892055.1_emu_male_v1.2_genomic.hist	histogram	assembly	NA	1184674198	0.99	8.29	NA	-1
GCA_046619175.1_CA_1_hap2_genomic.hist	histogram	assembly	NA	1274200028	0.70	34.75	NA	-1
GCA_024679355.1_ASM2467935v1_genomic.hist	histogram	assembly	NA	1071056930	0.87	15.62	NA	-1
GCA_032352815.1_NIB_DD_genomic.hist	histogram	assembly	NA	1109228361	0.91	38.10	NA	-1
GCA_000355885.1_BGI_duck_1.0_genomic.hist	histogram	assembly	NA	1063132710	0.96	27.18	NA	-1
GCA_027361055.1_ASM2736105v1_genomic.hist	histogram	assembly	NA	661123725	0.88	80.53	NA	-1
GCA_000364345.1_Macaca_fascicularis_5.0_genomic.hist	histogram	assembly	NA	2801208082	0.86	45.83	NA	-1
GCA_004027675.1_CasCan_v1_BIUU_genomic.hist	histogram	assembly	NA	2735766783	0.83	44.76	NA	-1
GCA_003342905.1_droNov1_genomic.hist	histogram	assembly	NA	1137814943	0.99	10.19	NA	-1
GCA_031306245.1_NCMD_genomic.hist	histogram	assembly	NA	2484416556	0.86	41.27	NA	-1
GCA_015104115.1_ASM1510411v1_genomic.hist	histogram	assembly	NA	2814773717	0.86	36.33	NA	-1
GCA_964273455.2_RhaChi1.2_genomic.hist	histogram	assembly	NA	901579641	0.75	218.28	NA	-1
GCA_015095755.1_ASM1509575v1_genomic.hist	histogram	assembly	NA	2811307560	0.86	36.49	NA	-1
GCA_000238935.1_Melopsittacus_undulatus_6.3_genomic.hist	histogram	assembly	NA	1084380125	0.94	11.69	NA	-1
GCA_015110535.1_ASM1511053v1_genomic.hist	histogram	assembly	NA	2824291551	0.86	36.30	NA	-1
GCA_013399815.1_ASM1339981v1_genomic.hist	histogram	assembly	NA	1037121138	0.97	22.23	NA	-1
GCA_000180615.2_FUGU5_genomic.hist	histogram	assembly	NA	349810940	0.88	154.37	NA	-1
GCA_029237485.1_ASM2923748v1_genomic.hist	histogram	assembly	NA	2526400725	0.84	167.89	NA	-1
GCA_922000895.2_AKR_J_v3_genomic.hist	histogram	assembly	NA	2498398040	0.85	169.84	NA	-1
GCA_015124505.1_ASM1512450v1_genomic.hist	histogram	assembly	NA	2812061782	0.86	36.60	NA	-1
GCA_014706295.1_ASM1470629v1_genomic.hist	histogram	assembly	NA	1101913043	0.93	18.43	NA	-1
GCA_025370635.1_ASM2537063v1_genomic.hist	histogram	assembly	NA	1030314201	0.95	31.88	NA	-1
GCA_902985625.2_mfascicularis_v7_phase1_genomic.hist	histogram	assembly	NA	2506763591	0.85	37.75	NA	-1
GCA_015078775.1_ASM1507877v1_genomic.hist	histogram	assembly	NA	2808814166	0.86	36.48	NA	-1
GCA_031771975.1_TAMU_N220234_genomic.hist	histogram	assembly	NA	2308322266	0.92	85.82	NA	-1
GCA_921998325.2_NOD_ShiLtJ_v3_genomic.hist	histogram	assembly	NA	2504607897	0.85	165.27	NA	-1
GCA_007922735.1_RhiFer_v1_BIUU_genomic.hist	histogram	assembly	NA	2173118019	0.88	92.00	NA	-1
GCA_049004495.1_ASM4900449v1_genomic.hist	histogram	assembly	NA	2841651282	0.75	69.08	NA	-1
GCA_012488915.1_Fperegrinus_1.0_genomic.hist	histogram	assembly	NA	1179278284	0.98	9.32	NA	-1
GCA_000738955.1_M_pentadactyla-1.1.1_genomic.hist	histogram	assembly	NA	1988431806	0.90	25.03	NA	-1
GCA_003264545.1_ASM326454v1_genomic.hist	histogram	assembly	NA	1152380058	0.97	12.61	NA	-1
GCA_019202745.1_Alosa.v1_genomic.hist	histogram	assembly	NA	916219859	0.66	259.41	NA	-1
GCA_050626335.1_SYSU_CMY_1.0_genomic.hist	histogram	assembly	NA	886798721	0.77	386.45	NA	-1
GCA_011800025.1_REN_Cmacq_2.0_genomic.hist	histogram	assembly	NA	1139437187	0.95	17.11	NA	-1
GCA_024686465.1_ASM2468646v1_genomic.hist	histogram	assembly	NA	1029439024	0.95	24.47	NA	-1
GCA_001682695.1_Pygocentrus_nattereri-1.0.2_genomic.hist	histogram	assembly	NA	1240581979	0.78	256.66	NA	-1
GCA_002742125.1_Oar_rambouillet_v1.0_genomic.hist	histogram	assembly	NA	2869290105	0.74	37.91	NA	-1
GCA_000317765.2_CHIR_2.0_genomic.hist	histogram	assembly	NA	2714507137	0.76	30.64	NA	-1
GCA_015776825.1_Ninghe_Sus_1_genomic.hist	histogram	assembly	NA	2458045076	0.87	51.79	NA	-1
GCA_900119615.2_WTSI_X_Y_pig_V2_genomic.hist	histogram	assembly	NA	146134912	0.75	46.49	NA	-1
GCA_027422525.1_ASM2742252v1_genomic.hist	histogram	assembly	NA	2404216162	0.90	72.94	NA	-1
GCA_005281545.1_ASM528154v1_genomic.hist	histogram	assembly	NA	1047316089	0.82	70.63	NA	-1
GCA_029237465.1_ASM2923746v1_genomic.hist	histogram	assembly	NA	2526406569	0.84	170.96	NA	-1
GCA_015147705.1_ASM1514770v1_genomic.hist	histogram	assembly	NA	2809836064	0.86	36.29	NA	-1
GCA_000219685.1_Devil_CABOG_asm.06_genomic.hist	histogram	assembly	NA	2917741287	0.91	91.13	NA	-1
GCA_019141155.1_MusNiv_Pri1.0_genomic.hist	histogram	assembly	NA	2476224831	0.88	35.99	NA	-1
GCA_000695075.1_Anguilla_anguilla_v1_09_nov_10_genomic.hist	histogram	assembly	NA	852524416	0.96	2.05	NA	-1
GCA_011799995.1_REN_Cmacq_1.0_genomic.hist	histogram	assembly	NA	1155974148	0.94	17.08	NA	-1
GCA_021464655.1_fGobGob41.pri.20210311_genomic.hist	histogram	assembly	NA	1489851046	0.54	250.86	NA	-1
GCA_004802775.1_Astyanax_mexicanus-1.0.2_genomic.hist	histogram	assembly	NA	960198970	0.90	66.99	NA	-1
GCA_003435595.3_Tur_tru_Illumina_phased_v1_genomic.hist	histogram	assembly	NA	4629179092	0.17	90.49	NA	-1
GCA_001700915.1_Passer_domesticus-1.0_genomic.hist	histogram	assembly	NA	998217438	0.98	8.77	NA	-1
GCA_001632555.1_C57BL_6NJ_v1_genomic.hist	histogram	assembly	NA	2302358992	0.91	155.95	NA	-1
GCA_015149295.1_ASM1514929v1_genomic.hist	histogram	assembly	NA	2840980646	0.84	36.30	NA	-1
GCA_022682495.2_HLdesRot8A.1_genomic.hist	histogram	assembly	NA	2119412130	0.87	15.39	NA	-1
GCA_008795845.1_Baphy_genomic.hist	histogram	assembly	NA	1982774781	0.97	10.03	NA	-1
GCA_024679415.1_ASM2467941v1_genomic.hist	histogram	assembly	NA	1018550083	0.94	15.31	NA	-1
GCA_000001515.5_Pan_tro_3.0_genomic.hist	histogram	assembly	NA	3130435865	0.77	38.64	NA	-1
GCA_015149255.1_ASM1514925v1_genomic.hist	histogram	assembly	NA	2838193485	0.85	36.15	NA	-1
GCA_035592075.1_ASM3559207v1_genomic.hist	histogram	assembly	NA	1006196049	0.99	5.12	NA	-1
GCA_004363415.1_EscRob_v1_BIUU_genomic.hist	histogram	assembly	NA	2585106898	0.80	59.75	NA	-1
GCA_029234015.1_ASM2923401v1_genomic.hist	histogram	assembly	NA	2503894822	0.85	168.48	NA	-1
GCA_014706025.1_ASM1470602v1_genomic.hist	histogram	assembly	NA	1098933823	0.93	16.84	NA	-1
GCA_026225835.1_ASM2622583v1_genomic.hist	histogram	assembly	NA	733644035	0.87	145.74	NA	-1
GCA_000222185.1_MacFas_Jun2011_genomic.hist	histogram	assembly	NA	2414507227	0.91	21.89	NA	-1
GCA_015124935.1_ASM1512493v1_genomic.hist	histogram	assembly	NA	2816284182	0.86	36.68	NA	-1
GCA_003399555.1_ASM339955v1_genomic.hist	histogram	assembly	NA	374387129	0.97	238.38	NA	-1
GCA_027564775.1_ASM2756477v1_genomic.hist	histogram	assembly	NA	545808704	0.90	278.18	NA	-1
GCA_019677235.1_HNU_Msal_1.0_genomic.hist	histogram	assembly	NA	877308026	0.79	182.16	NA	-1
GCA_015144705.1_ASM1514470v1_genomic.hist	histogram	assembly	NA	2833776290	0.84	36.33	NA	-1
GCA_029874265.1_ASM2987426v1_genomic.hist	histogram	assembly	NA	668652562	0.88	21.03	NA	-1
GCA_001700295.1_Jinhua_pig_v1_genomic.hist	histogram	assembly	NA	2426227508	0.87	37.76	NA	-1
GCA_002850735.1_WTSP-SWSv1_genomic.hist	histogram	assembly	NA	1004140867	0.96	0.77	NA	-1
GCA_000691785.1_ASM69178v1_genomic.hist	histogram	assembly	NA	1129741026	0.98	4.64	NA	-1
GCA_000242695.1_LepOcu1_genomic.hist	histogram	assembly	NA	868045549	0.95	15.16	NA	-1
GCA_000004665.1_Callithrix_jacchus-3.2_genomic.hist	histogram	assembly	NA	2746464670	0.85	32.07	NA	-1
GCA_001013985.1_ASM101398v1_genomic.hist	histogram	assembly	NA	3029585043	0.79	34.84	NA	-1
GCA_040869285.1_UKY_Mglu_1.0_genomic.hist	histogram	assembly	NA	3654980719	0.23	250.50	NA	-1
GCA_047292575.1_ASM4729257v1_genomic.hist	histogram	assembly	NA	1655903275	0.95	35.62	NA	-1
GCA_905332855.1_Menidia_menidia_CT_1.0_genomic.hist	histogram	assembly	NA	453887848	0.96	46.72	NA	-1
GCA_023634345.2_ASM2363434v2_genomic.hist	histogram	assembly	NA	756587746	0.92	102.24	NA	-1
GCA_015104055.1_ASM1510405v1_genomic.hist	histogram	assembly	NA	2813349195	0.86	36.28	NA	-1
GCA_001723915.1_GavGan_comp1_genomic.hist	histogram	assembly	NA	1935161891	0.92	15.34	NA	-1
GCA_002224895.1_ASM222489v1_genomic.hist	histogram	assembly	NA	1166165572	0.88	29.40	NA	-1
GCA_040939525.1_ASM4093952v1_genomic.hist	histogram	assembly	NA	40289876398	0.52	22.22	NA	-1
GCA_001700215.1_Landrace_pig_v1_genomic.hist	histogram	assembly	NA	2414355583	0.87	40.08	NA	-1
GCA_004216515.1_sis1-161031-pseudohap_genomic.hist	histogram	assembly	NA	2103278072	0.93	67.12	NA	-1
GCA_000472085.2_Tibetan_Pig_v2_genomic.hist	histogram	assembly	NA	2372005871	0.87	37.01	NA	-1
GCA_001455525.1_AmbMex13_14.1.0_genomic.hist	histogram	assembly	NA	201153886	0.99	0.00	NA	-1
GCA_029233825.1_ASM2923382v1_genomic.hist	histogram	assembly	NA	2511907611	0.85	133.29	NA	-1
GCA_013398625.1_ASM1339862v1_genomic.hist	histogram	assembly	NA	1015149311	0.98	12.76	NA	-1
GCA_000002295.1_MonDom5_genomic.hist	histogram	assembly	NA	3499038814	0.83	148.11	NA	-1
GCA_049942455.1_ASM4994245v1_genomic.hist	histogram	assembly	NA	1129951486	0.97	19.17	NA	-1
GCA_015145705.1_ASM1514570v1_genomic.hist	histogram	assembly	NA	3037239105	0.74	36.07	NA	-1
GCA_002197715.1_LonStrDom1_genomic.hist	histogram	assembly	NA	1027812800	0.96	43.40	NA	-1
GCA_000001545.3_P_pygmaeus_2.0.2_genomic.hist	histogram	assembly	NA	3080650852	0.76	26.44	NA	-1
GCA_049942515.1_ASM4994251v1_genomic.hist	histogram	assembly	NA	1149369494	0.95	24.24	NA	-1
GCA_000696655.1_Ajinai1.0_genomic.hist	histogram	assembly	NA	2370459567	0.94	15.40	NA	-1
GCA_015156315.1_ASM1515631v1_genomic.hist	histogram	assembly	NA	2807119885	0.86	36.37	NA	-1
GCA_015158525.1_ASM1515852v1_genomic.hist	histogram	assembly	NA	2816506642	0.86	36.36	NA	-1
GCA_002022825.1_10x.supernova.msHGP_genomic.hist	histogram	assembly	NA	5675963482	0.02	35.43	NA	-1
GCA_001487895.1_Zebrafish_Genome_Assembly_WGS32_genomic.hist	histogram	assembly	NA	1387203535	0.64	262.47	NA	-1
GCA_036426205.1_UCB_Atru_1.0_genomic.hist	histogram	assembly	NA	3078093205	0.68	72.98	NA	-1
GCA_009811775.1_CJ2019_assembly_genomic.hist	histogram	assembly	NA	2791024563	0.85	32.13	NA	-1
GCA_024653025.1_ASM2465302v1_genomic.hist	histogram	assembly	NA	1024082695	0.95	33.06	NA	-1
GCA_006232285.1_SYL_genomic.hist	histogram	assembly	NA	416435901	0.95	127.24	NA	-1
GCA_000231765.1_GadMor_May2010_genomic.hist	histogram	assembly	NA	581146949	0.85	288.80	NA	-1
GCA_015119855.1_ASM1511985v1_genomic.hist	histogram	assembly	NA	2808998047	0.86	36.44	NA	-1
GCA_004363515.1_IniGeo_v1_BIUU_genomic.hist	histogram	assembly	NA	2558970713	0.78	89.97	NA	-1
GCA_015109015.1_ASM1510901v1_genomic.hist	histogram	assembly	NA	2806397516	0.86	36.40	NA	-1
GCA_015074485.1_ASM1507448v1_genomic.hist	histogram	assembly	NA	2824044751	0.86	36.34	NA	-1
GCA_921998635.2_FVB_NJ_v3_genomic.hist	histogram	assembly	NA	2474225425	0.85	165.99	NA	-1
GCA_024686355.1_ASM2468635v1_genomic.hist	histogram	assembly	NA	1017344945	0.96	25.53	NA	-1
