sample	r1	r2	r3	r4	r5	r6	r7	r8	r9	r10	r11	r12	r13	r14	r15	r16	r17	r18	r19	r20	r21	r22	r23	r24	r25	r26	r27	r28	r29	r30	r31	r32	r33	r34	r35	r36	r37	r38	r39	r40	r41	r42	r43	r44	r45	r46	r47	r48	r49	r50
GCF_020745825.1.hist	1027739327	8909421	2528088	1309749	768103	532309	396268	276235	209570	169154	144617	129993	108966	96983	89137	74039	63549	56197	48234	46915	44181	37290	35307	32190	32800	28136	28348	26984	24525	24163	23857	20095	19461	17463	17724	17564	15193	14208	13431	12247	11781	11870	11058	9738	9577	9333	8956	9102	7666	7836
GCF_037176765.1.hist	1308424843	38847438	9464372	4702245	2770704	1850923	1316494	1001437	765577	611983	503034	418885	351403	300040	260124	228972	200768	179379	164270	149285	133851	120589	108479	98988	90780	83873	77925	72733	66769	62147	57385	54206	51370	48485	45398	41788	40208	37634	35585	34477	32753	31331	29703	28120	27102	25782	25006	24090	22886	21761
GCA_045364795.1.hist	1045967586	9222250	3272470	1419022	888536	644005	457366	356345	295704	248437	185285	146962	137651	104101	83729	72881	63385	57355	52509	46709	45572	43101	35049	33457	30514	27972	27066	27749	25652	24470	23781	25201	18424	17134	16979	15472	14289	13146	13194	12580	11479	11852	11123	10793	11033	10463	10187	8869	8292	8115
GCA_963454915.1.hist	854327023	28384691	9128555	4800657	2910565	1966322	1361101	986998	754905	595042	489675	411067	350797	301192	247744	213590	187271	167814	151718	135676	124894	110325	99791	94557	88794	82351	73790	67194	61740	58452	54989	52110	50929	49193	46520	45000	43563	39838	38485	34237	31701	30702	29522	28655	27972	26172	24284	23601	22595	21907
GCA_011762505.3.hist	2101165058	53361255	10685604	4406341	2465032	1596281	1112592	824262	620301	489451	390745	313386	260729	219221	188445	166347	145711	125720	108492	94998	84953	76675	69484	64571	59799	54231	49786	45029	41614	38912	36445	34700	31266	29396	27263	25495	23591	22255	21048	19797	18906	17988	17569	16073	15398	14651	14017	13336	12543	11781
GCA_028022735.1.hist	1174331817	6848499	1727468	842663	561122	389778	286282	260336	180411	181230	118406	97086	80944	76021	58226	52622	46058	40232	37944	34815	32011	31009	25114	23578	21489	20390	18064	16476	15093	13699	13475	12626	12076	11702	11300	10842	10528	9183	8864	8809	7837	7533	7291	7208	6959	6461	6497	6213	6583	7123
GCA_045781085.1.hist	1826017542	24067507	6955577	3474156	2027510	1398033	1002704	742724	571456	461403	384718	326410	264042	220028	187377	161540	140237	124898	114812	106918	97493	91812	83110	76600	72457	66913	63014	56987	47594	45423	42298	38669	36640	33079	30414	30028	26941	24756	23493	22309	21065	20786	19940	18967	18755	18383	18078	17437	16143	16590
GCA_965152235.1.hist	1826127726	24838840	7741918	3967652	2515793	1667398	1173266	904705	678694	557426	440516	359018	310758	258596	222230	193403	170751	155262	140976	122110	111650	99202	89284	80203	72934	65924	60901	57400	55948	49513	44324	41645	39425	36704	34927	32061	30088	28097	27057	25202	23746	21766	21245	20064	19172	18482	17651	18312	17491	15700
GCF_036321535.1.hist	1901264307	26925102	6427973	3549739	2134784	1206134	835398	631577	493315	417096	339020	284520	251766	220812	188491	164646	144910	131631	122146	111081	107622	95335	86402	86904	84840	74964	69122	64677	59506	56211	53254	49274	50001	45977	44335	41321	39826	37900	35544	33836	30427	29220	29449	26537	23948	21044	20133	18142	17169	15862
GCA_965140285.1.hist	1813236460	23338985	6981628	3531863	2113087	1416007	1044230	811196	620809	492657	409481	336198	281870	233684	198921	173233	162313	136665	125821	113502	102055	94653	86211	80457	73546	67830	64812	61490	56415	51217	46380	42399	40325	38878	36655	35518	31899	29490	27439	25835	25715	25145	27048	25063	24040	21665	21160	22621	20089	18917
GCF_015852505.1.hist	1547808362	41718077	13126497	6285010	3596855	2296244	1570663	1131581	853425	667038	534706	438673	367680	310678	266147	231385	201335	177030	154602	138197	124142	111266	101050	92299	83883	76423	70235	64797	59947	55482	51649	48467	45226	42607	39927	37673	35337	34021	32095	30139	29022	27122	25992	25178	23472	22381	21724	20687	19771	19020
GCA_947247035.1.hist	1160551617	22089006	6719004	3440781	2038253	1370951	987952	751778	610905	486940	404914	339742	290249	252763	221592	194876	174585	153773	138196	122649	113238	102959	93230	85414	79595	72915	68072	63261	58887	55798	51819	49370	46339	43147	40836	38486	37030	34653	33347	31854	31527	31507	29135	27819	25531	24446	23243	21714	20411	19701
GCF_009769545.1.hist	474156126	6917966	2286961	1199736	755960	515628	366562	274302	217153	175723	141449	117035	95539	82795	70389	58867	48958	44140	37716	33741	29582	26950	24349	22923	20337	17995	16692	15778	14684	13336	11821	10836	10241	9766	8931	8543	7834	7667	6726	6526	6307	5860	5126	5093	5111	4682	4732	4635	4509	4194
GCA_964264875.2.hist	1620630483	26552004	8242302	4404294	2944635	1897259	1379216	1115928	874522	757827	620083	537960	468032	393752	332674	309825	283179	256761	228360	219606	210661	201852	186319	169036	155835	145321	135663	121324	109506	107903	115791	128347	138327	106013	85613	81627	85104	93728	103179	102432	100770	97696	89232	67684	58188	55975	53845	48372	42496	39485
GCF_900634625.1.hist	439149369	12792398	1945144	996880	628849	448188	331209	246736	202778	161973	125546	102350	83296	77507	70813	58341	46137	41767	39352	34850	31338	30004	26808	23383	21779	21054	20827	20025	18031	17659	16297	16020	14575	13606	13583	12978	13312	13224	10830	10216	9370	9110	8347	7979	7552	6984	6644	6353	5868	5358
GCA_048771875.1.hist	1973862411	14137771	3870762	1811653	1081420	744407	612755	443000	326553	269788	206653	192492	171079	140958	125189	105005	92409	85139	73894	70381	68166	62773	56518	52050	47104	44063	40408	36078	36772	35701	31047	28833	27504	26908	25415	25047	24739	23587	23693	24095	23342	23390	24332	23054	22920	22311	21975	20793	19516	19347
GCA_043250625.1.hist	660240564	13566142	4397001	2249525	1319439	875261	611779	476474	374326	291855	228141	189777	161902	146565	125447	108641	95746	88724	76069	69010	60370	55376	49017	46144	39771	35918	32545	30381	29134	27066	25164	23905	22032	19648	18804	17530	16557	15275	14619	14446	13388	12628	11830	11440	11129	10366	10309	9906	8874	8291
GCA_964204865.1.hist	252313500	10588174	3316381	1632421	891538	608268	453456	335263	301571	209465	166979	133810	113723	97704	81466	73675	59809	51564	45938	38702	34886	32467	28748	25918	24768	23130	21875	19674	18569	17410	16810	16250	15335	14436	14078	12975	12349	11937	11371	10581	10093	9703	8986	8519	7919	7565	7122	6758	6479	6124
GCA_046129695.1.hist	990946597	9028737	2502235	1351418	868661	634353	454645	346747	293686	221813	193370	167732	143889	128764	116760	103346	96689	86285	82628	67594	64267	58529	57613	62024	55624	43795	42319	40169	38488	38744	32240	29754	25873	25322	24216	21923	20820	19586	18289	17525	16311	15486	15737	14968	13578	12076	11749	11386	10679	9123
GCF_031021105.1.hist	1239461127	44601034	11241279	5691519	3425960	2321684	1680457	1273195	997657	815760	655242	552729	472381	399719	344392	305591	272455	245045	222719	202686	181966	162747	148108	136594	125187	118923	113085	106079	97188	89528	83621	77674	73421	68481	64476	61327	59190	55256	52960	51560	47143	44467	42146	40192	38015	36296	34766	33644	32275	31198
GCF_015237465.2.hist	1826107540	24128252	7005532	3306707	1925238	1236318	863714	634139	474627	373755	302179	254029	204965	172805	149811	129206	113300	100888	88714	79177	70663	63295	57514	52553	48717	44453	41029	37993	35236	32314	30412	28240	26343	24717	23118	22326	21309	20064	19193	18123	17084	16084	15156	14228	13605	12616	12306	11664	11264	10714
GCA_964165515.1.hist	2013400775	36094404	9194501	5175676	3251760	2280135	1670018	1294748	1122156	828255	660675	562954	489469	441778	394829	370682	338291	283707	271120	266375	224507	196616	182405	160793	154771	144327	137312	135015	130019	131841	115415	106192	100419	94435	88231	87580	83492	81633	76166	72108	71632	72100	69501	65518	63226	60111	67591	52493	47602	45635
GCF_905171765.1.hist	2198287724	127696180	42857799	22151528	13454513	9117908	6588160	4993686	3916956	3155028	2597487	2165751	1825833	1563094	1356187	1190568	1049597	935200	837187	757275	683520	619791	562510	515455	475596	436089	404486	373873	346473	322170	304974	283827	265895	250646	235656	221627	208146	198491	186828	176588	167988	159648	152379	145751	139551	133201	127113	122097	117703	111925
GCF_011004845.1.hist	728456877	16551918	5151396	2546819	1454285	974533	690104	504666	383411	306710	242052	195793	159869	134512	114025	99673	86390	75572	65121	57875	51825	46448	42218	38666	35215	32082	29147	27227	25080	22705	21294	20257	18318	17783	17343	16002	13895	12917	11974	11852	10877	10056	9309	9087	8598	8676	8031	7474	7196	6850
GCA_964234715.1.hist	1179231149	18017980	5247665	2640228	1558688	1046541	752807	567472	438305	361798	313748	253231	220046	196822	164918	147179	131558	121794	105464	93636	84996	77050	69494	64167	60168	56595	52199	49577	46960	44669	40327	38063	35417	32781	30889	29881	28315	27207	26150	25004	23813	22669	22397	22372	21810	20905	20418	20053	19302	19236
GCF_027477595.1.hist	1015402290	7726826	2417032	1237562	769686	523514	375093	295425	217967	173233	145441	126410	108766	96384	89147	77637	65865	59289	59553	53741	43338	37177	33051	31430	28236	25046	24151	21040	19625	19099	17763	17909	16442	13119	12456	12356	12069	11693	12380	12439	10971	9850	8445	8056	7923	7467	7122	7496	7196	6526
GCF_042242105.1.hist	577036369	5575967	1412744	727791	413219	303703	215884	162855	118860	89365	74598	59497	48928	42607	35637	30879	28454	23319	21770	19209	19256	15575	13747	12289	11187	11105	10563	10157	8683	8399	7542	6851	6466	6130	5731	5474	5106	4982	4605	4293	4209	4189	3623	4047	3430	3119	3088	3191	3530	3723
GCF_015220745.1.hist	663435885	12694067	3952052	1982569	1136642	757649	528532	392107	301371	228884	183916	150321	126970	104491	90793	77477	67328	58048	51332	46248	41843	37111	32874	30181	27268	25919	23842	22964	20819	19061	17784	15887	14878	14138	13286	12710	11714	11169	10795	10263	9614	9131	8590	8300	7517	7256	6985	6500	6138	5871
GCA_963210335.1.hist	1141447351	4848461	1242925	743154	478316	285246	232668	204435	155890	139370	106320	118190	114947	84910	73891	68239	63888	61338	49058	37994	34793	33059	33257	31890	28286	26134	27915	29534	21649	19307	20709	19330	19965	20947	21296	19991	19675	19840	18821	17741	15433	11401	10172	9410	9784	10303	11378	12066	11014	9843
GCA_965112155.1.hist	1180561445	20289206	6009931	3019929	1789381	1224322	889165	666236	510755	413390	339457	291533	246735	214252	188238	166295	146982	133282	123445	111483	99151	90108	83661	77868	70139	65031	58929	55539	52253	50142	46781	42842	40888	38514	35699	33889	31496	29605	28052	26105	24507	22853	22293	20883	19637	18957	17706	16941	16815	16167
